Year,black_lead,white_lead,below_pov_lead,above_pov_lead
2015,15.5380293069889,13.478500153377,16.4790470518166,13.6756731030732
2016,13.4076052430281,9.45457865784106,12.7165011664772,10.0147635145242
2017,8.03768077679017,9.22311033703439,10.8757172594805,8.11934104309538
2018,2.65450874831763,3.06769745089845,3.25616326889666,2.57997645431044
2019,8.97639116949462,2.50186999471523,5.45837456853895,6.48052044720349
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
